"Empresa Genera",Año,Mes,Planta,"Energia Punta","Energia Valle","Energia Noche","Potencia Gen Punta","Potencia Gen Valle","Potencia Gen Noche","Potencia Sist Punta","Potencia Sist Valle","Potencia Sist Noche","Fecha Max","Hora Max","Factor Carga","Consumo Diesel","Consumo Bun","Consumo Bun AZ","Consumo Otro","Consumo Lub","Gasto Diesel","Gasto Bun","Gasto Bun AZ","Gasto Otro","Gasto Lub"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ",REVENTAZON,22158060.865,35657405.559,37355215.36,275303.205,271044.25,287361.662,246188.025,152537.212,256688.174,29-12-0202,"Jan 1",0.4178,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ","RÍO MACHO",15606931.021,27090406.195,24159909.075,139231.039,139359.645,134309.207,135026.742,74604.432,86251.351,23-12-0202,"Jan 1",0.6419,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ",SANDILLAL,332766.85,558337.749,570747.962,9369.463,9396.4,9361.097,7252.604,7067.287,7263.711,31-12-0202,"Jan 1",0.0634,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ",TEJONA,436561.548,742882.263,800192.432,5066.801,5056.614,4995.94,-49.074,-45.92,-43.547,01-12-0202,"Jan 1",0.3360,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ","TORO I",3187530.924,5715218.985,6350674.385,26058.6,26113.043,26090.055,17904.525,14065.765,17897.152,01-12-0202,"Jan 1",0.8072,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ","TORO II",8817399.028,15535711.122,14630884.291,66217.752,66121.07,65998.863,59654.105,49347.264,64495.322,25-12-0202,"Jan 1",0.7939,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ","MOÍN GAS III",50510.091,0.047,0,35181.738,-72.385,-72.536,-76.506,-78.873,-75.57,04-12-0202,"Jan 1",0.0006,50510,0,0,0,875,0,0,0,0,1370340.48
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ",OROTINA,0,0,0,0,0,0,0,0,0,01-12-0202,"Jan 1",0.0000,0,0,0,0,0,54071.2,0,0,0,0
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ","LAS PAILAS",4138104.652,7532972.472,8546357.223,29554.256,29830.689,29815.59,28919.832,29035.414,29003.191,26-12-0202,"Jan 1",0.7764,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ","PAILAS II",7493080.067,13163921.33,15293366.205,52543.188,52325.68,52521.633,51979.426,52013.555,51992.004,03-12-0202,"Jan 1",0.9296,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ","PEÑAS BLANCAS",5137042.609,8653953.449,8929943.169,35958.949,35958.297,36009.75,34838.586,34984.801,35035.648,03-12-0202,"Jan 1",0.8436,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ",PIRRÍS,8100062.883,12959008.256,12358428.402,138586.406,138444.727,138399.016,95717.695,70835.137,84984.141,13-12-0202,"Jan 1",0.3208,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ","MIRAVALLES II",2755425.524,4823331.722,5806415.774,41639.613,42467.699,41544.836,40544.449,40122.652,6116.625,21-12-0202,"Jan 1",0.4251,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ","MIRAVALLES III",2900660.494,5184999.998,5895789.235,21324.828,21333.312,21213.781,20547.826,20557.631,20562.158,12-12-0202,"Jan 1",0.6955,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ","SOLAR MIRAVALLES",49036.5,,,,,,,,,27-10-2025,,0.0659,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ","MIRAVALLES V",0,0,0,-19.835,-18.4,-20.032,-26.184,-22.417,-24.658,27-12-0202,"Jan 1",0.0000,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ","MOÍN GAS II",26655.435,22054.228,0,28687.298,28385.558,-52.241,-77.859,-82.991,-73.624,21-12-0202,"Jan 1",0.0007,20962,0,0,0,0,11330326.61,0,0,0,0
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ","MOÍN GAS III",0,0,0,-92.888,-90.837,-88.586,-126.356,-128.231,-122.308,05-12-0202,"Jan 1",0.0000,0,0,0,0,0,0,0,0,0,0
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ",GARABITO,0,0.409,0,-429.151,-423.849,-439.682,-578.706,-564.6,-562.382,22-12-0202,"Jan 1",0.0000,3412,0,26848,0,0,1833127.08,0,8957111.72,0,0
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ",GARABITO,44300.064,0,0,35465.816,-27.967,-78.176,-80.299,-78.656,-80.878,16-12-0202,"Jan 1",0.0017,44300,0,12101,0,850,6757628.14,0,0,0,1331187.9
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ","LA GARITA ",2534821.192,4077464.129,4337182.764,39512.785,39484.496,39525.738,39338.148,29675.006,39440.195,28-12-0202,"Jan 1",0.3679,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ",GUÁPILES,26286.943,55010.647,0,5494.027,6312.097,0,-59.298,-43.023,-56.443,19-12-0202,"Jan 1",0.0080,22434,0,4828,0,0,13357042.07,0,1756846.45,0,0
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ","LA JOYA",694.508,2795.771,7394.919,130.802,113.862,115.727,-47901.461,-50021.266,-48341.332,22-12-0202,"Jan 1",0.0003,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ","MIRAVALLES I",6298037.362,11301626.472,12932196.864,48126.918,48148.641,48137.293,35801.598,35714.539,35585.676,11-12-0202,"Jan 1",0.9683,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ","BOCA DE POZO",691064.854,1220463.217,1393270.078,4521.783,4523.891,4520.162,4496.535,4501.806,4489.951,10-12-0202,"Jan 1",0.8884,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ",CACHÍ,12969043.537,21561902.285,17914595.461,152159.562,152304.105,152343.105,136976.879,152304.105,151294.422,29-12-0202,"Jan 1",0.4433,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ",CARIBLANCO,10546012.676,18088175.137,14694624.05,80538.875,80545.625,80593.637,60074.873,68122.359,79267.012,09-12-0202,"Jan 1",0.7102,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ","MIGUEL DENGO",5625774.744,9587441.67,5509411.494,96121.883,116480.445,58917.586,58429.43,114385.559,58488.215,28-12-0202,"Jan 1",0.1601,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ",ECHANDI,2828415.75,,,,,,,,,27-10-2025,,0.8841,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ",GENERAL,5825627.157,10139850,10518952.782,40436.473,40481.117,40409.279,30285.608,30771.049,40369.432,24-12-0202,"Jan 1",0.9128,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ",ANGOSTURA,14993521.524,23220062.953,8138252.97,178960.953,179135.215,179766.141,118492.301,178851.168,118940.051,28-12-0202,"Jan 1",0.3461,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ",ARENAL,4143782.999,6994197.481,4310864.587,82600.805,100017.25,53218.836,49305.086,95871.023,44714.168,28-12-0202,"Jan 1",0.1251,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ","TORO III",6188454.107,11057253.49,10619994.033,46083.484,46364.354,46313.129,42534.43,36673.102,45391.484,03-12-0202,"Jan 1",0.7882,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2024,"Diciembre ","VENTANAS GARITA",7223327.633,11424489.387,12123981.743,99664.195,99662.891,99213.93,78253.398,79895.012,79102.797,03-12-0202,"Jan 1",0.4136,,,,,,,,,,
