"Empresa Genera",Año,Mes,Planta,"Energia Punta","Energia Valle","Energia Noche","Potencia Gen Punta","Potencia Gen Valle","Potencia Gen Noche","Potencia Sist Punta","Potencia Sist Valle","Potencia Sist Noche","Fecha Max","Hora Max","Factor Carga","Consumo Diesel","Consumo Bun","Consumo Bun AZ","Consumo Otro","Consumo Lub","Gasto Diesel","Gasto Bun","Gasto Bun AZ","Gasto Otro","Gasto Lub"
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2020,"Diciembre ","DANIEL GUTIÉRREZ",2792001.003,3314499.362,3726501.06,21012.04,21073.71,20982.6,20948.57,20981.01,18276.45,02-12-0202,"Jan 1",0.6568,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2020,"Diciembre ","EL ENCANTO",1075562.987,1981965.787,2018590.11,8792.94,8805.13,9430.98,8604.52,8606.08,8607.13,02-12-0202,"Jan 1",0.7511,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2020,"Diciembre ",ELECTRIONA,863423.906,1064936.757,1194092.734,6178.91,6125.65,6068.83,6071.28,6022.4,6030.01,02-12-0202,"Jan 1",0.7205,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2020,"Diciembre ","RÍO SEGUNDO",143215.587,204350.756,188813.414,1226.16,1232.61,1008.31,997.63,1000.61,470.99,02-12-0202,"Jan 1",0.5768,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2020,"Diciembre ","P.E VALLE CENTRAL",815366.578,1409855.875,1861589.805,15435.12,15477.54,15213.89,1245.4,72.29,14584.45,02-12-0202,"Jan 1",0.4875,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2020,"Diciembre ",VENTANAS,578696.205,1073702.269,862765.975,7840.05,7711.73,7862.77,4621.91,7129.74,7626.28,02-12-0202,"Jan 1",0.3000,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2020,"Diciembre ","BALSA INFERIOR",4928926.408,3656313.85,3352646.456,36819.37,36704.95,36418.75,36593.36,36515.7,26380.68,02-12-0202,"Jan 1",0.4279,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2020,"Diciembre ",BELÉN,1421246.574,2418802.227,2649972.959,10053.76,9834.37,10004.31,9723.21,9737.74,9199.49,02-12-0202,"Jan 1",0.8305,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2020,"Diciembre ",BRASIL,3383892.459,4133330.823,3201196.274,25307.97,25212.17,25016.03,24162.85,22818.64,23185.27,02-12-0202,"Jan 1",0.6003,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2020,"Diciembre ",COTE,487451.629,625356.05,0,6904.61,6892.1,0,6853.19,6880.03,0,02-12-0202,"Jan 1",0.2204,,,,,,,,,,
"COOPERATIVA DE ELECTRIFICACION RURAL DE SAN CARLOS R.L.",2020,"Diciembre ","LA ESPERANZA",747352.08,1283398.424,1180010.977,5226.857,5229.661,5226.44,5215.926,5200.517,3036,03-12-0202,"Jan 1",0.7700,,,,,,,,,,
"COOPERATIVA DE ELECTRIFICACION RURAL DE SAN CARLOS R.L.",2020,"Diciembre ","AGUAS ZARCAS",1905237.607,3266466.42,3151458.248,14829.044,14807.696,14765.13,14681.534,14707.952,7605.107,03-12-0202,"Jan 1",0.7690,,,,,,,,,,
"COOPERATIVA DE ELECTRIFICACION RURAL DE SAN CARLOS R.L.",2020,"Diciembre ",POCOSOL,0,0,0,0,0,0,0,0,0,27-10-2025,,0.0010,,,,,,,,,,
"COOPERATIVA DE ELECTRIFICACION RURAL DE SAN CARLOS R.L.",2020,"Diciembre ",CHOCOSUELAS,1873787.478,4832093.568,2776799.744,25020.591,25409.263,25394.54,17327.544,23970.158,9895.299,03-12-0202,"Jan 1",0.4860,,,,,,,,,,
"COOPERATIVA DE ELECTRIFICACION RURAL LOS SANTOS R.L.",2020,"Diciembre ","LOS SANTOS",904106.171,1558018.791,1953097.653,12264.997,11965.579,12217.794,558.188,0,239.88,03-12-0202,"Jan 1",0.4654,,,,,,,,,,
