"Empresa Genera",Año,Mes,Planta,"Energia Punta","Energia Valle","Energia Noche","Potencia Gen Punta","Potencia Gen Valle","Potencia Gen Noche","Potencia Sist Punta","Potencia Sist Valle","Potencia Sist Noche","Fecha Max","Hora Max","Factor Carga","Consumo Diesel","Consumo Bun","Consumo Bun AZ","Consumo Otro","Consumo Lub","Gasto Diesel","Gasto Bun","Gasto Bun AZ","Gasto Otro","Gasto Lub"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ","TORO III",4294476.122,7054703.09,5453933.038,45686.248,45697.959,45559.246,24304.382,45080.246,24287.411,07-12-0201,"Jan 2",0.4753,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ","VENTANAS GARITA",4661240.775,7400612.088,6866185.517,83889.566,82781.055,98688.18,-64.753,0,-66.471,28-12-0201,"Jan 2",0.2544,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ",REVENTAZON,17019990.342,28563104.169,25512571.57,231828.562,232466.472,231985.147,231566.392,224186.839,231570.61,09-12-0201,"Jan 2",0.3121,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ","RÍO MACHO",9663249.404,16912545.434,14199262.93,134386.611,122284.777,107438.908,69909.912,83188.39,49131.416,07-12-0201,"Jan 2",0.3915,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ",SANDILLAL,1184333.518,2107959.924,2339085.697,14940.726,15644.193,15095.646,7844.813,8109.414,7862.524,17-12-0201,"Jan 2",0.2443,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ",TEJONA,1482385.552,2574931.339,2843338.651,13843.059,13966.751,13425.262,10502.58,7194.563,11025.076,24-12-0201,"Jan 2",0.5621,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ","TORO I",1917054.236,3271244.297,3184993.578,26003.275,26008.447,25841.461,9865.084,15956.065,9868.239,07-12-0201,"Jan 2",0.4431,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ","TORO II",5888045.91,9466462.705,7123256.635,65399.566,65274.83,65057.375,32578,63024.52,32556.943,07-12-0201,"Jan 2",0.4578,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ","MOÍN GAS III",0,61942.997,0,-103.639,32440.991,-106.131,-154.478,-153.035,-156.239,18-12-0201,"Jan 2",0.0012,22812,0,0,0,0,0,0,0,0,0
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ",OROTINA,8040.763,5502.06,0,4029.032,4139.053,0,0,0,0,19-12-0201,"Jan 2",0.0019,3680.5,0,0,0,295,2276374.72,0,0,0,345026.26
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ","LAS PAILAS",3010181.979,5357123.216,6115492.648,30610.854,30734.824,30679.656,-22.578,-159.639,-22.952,24-12-0201,"Jan 2",0.5562,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ","PAILAS II",7581357.949,13368357.116,15179936.883,52561.137,52907.398,52581.637,52071.578,52349.043,52043.676,02-12-0201,"Jan 2",0.9342,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ","PEÑAS BLANCAS",4334561.821,7063491.118,6242723.061,35508.188,35557.688,35603.723,33826.703,35308.266,23559.531,10-12-0201,"Jan 2",0.6550,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ",PIRRÍS,5402143.652,10244408.634,9212443.11,102698.336,87630.391,109744.5,102698.336,67718.161,82866.656,10-12-0201,"Jan 2",0.2387,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ","MIRAVALLES I",6924012.047,12369043.089,13730724.582,49723.316,49805.914,49862.656,43552.43,43342.746,43497.012,17-12-0201,"Jan 2",1.0000,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ","MIRAVALLES II",322747.397,485103.288,670842.185,42244.957,43780.02,42755.395,-129.344,-143.767,-127.316,12-12-0201,"Jan 2",0.0470,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ","MIRAVALLES III",3774238.856,6797386.216,7598613.974,29811.094,29740.5,28801.602,22036.582,22736.359,21871.947,20-12-0201,"Jan 2",0.9039,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ","SOLAR MIRAVALLES",97644.75,,,,,,,,,27-10-2025,,0.1312,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ","MIRAVALLES V",218018.185,394182.304,450997.163,5041.907,5099.724,4243.37,-66.047,-62.696,-64.696,20-12-0201,"Jan 2",0.2382,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ","MOÍN GAS II",142886.859,205325.525,0,30144.673,30402.851,-105.478,-134.82,-132.313,-135.338,17-12-0201,"Jan 2",0.0036,135638,0,0,0,0,99303701.31,0,0,0,0
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ",CARIBLANCO,6968932.358,11453734.798,8367663.723,80127.828,80247.562,79158.191,53798.654,66902.385,41687.217,09-12-0201,"Jan 2",0.4391,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ","MIGUEL DENGO",7997318.637,14149656.231,14189106.6,106180.242,111979.73,102485.664,50968.207,55703.039,51431.527,18-12-0201,"Jan 2",0.2807,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ",ECHANDI,0,,,,,,,,,27-10-2025,,0.0000,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ",GARABITO,1566.061,44577.308,0,5790.716,16468.861,-522.52,-731.759,-591.977,-784.883,12-12-0201,"Jan 2",0.0003,12439,78423,12439,0,0,13942348.23,42710566.58,0,0,0
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ","LA GARITA ",3985930.138,6814082.706,5240941.543,38967.68,39139.965,38894.77,29146.1,38475.703,23264.012,02-12-0201,"Jan 2",0.5390,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ",GUÁPILES,7643.564,22714.431,0,6645.624,6940.312,0,0,0,0,19-12-0201,"Jan 2",0.0030,7782,0,0,0,0,5521552.28,0,0,0,0
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ",ANGOSTURA,12009198.684,18992839.64,13421433.268,162232.121,175026.246,163980.504,139207.785,175026.246,143470.844,09-12-0201,"Jan 2",0.3317,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ",ARENAL,6552259.242,11528993.895,11386211.709,91891.641,97266,90381.953,39325.008,45873.16,39873.301,18-12-0201,"Jan 2",0.2386,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ","BOCA DE POZO",700109.162,1240886.067,1401359.851,4561.11,4564.069,4561.711,4523.699,4533.12,4521.395,01-12-0201,"Jan 2",0.8985,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2019,"Diciembre ",CACHÍ,8314827.48,12541823.629,7682369.794,153392.254,137499.783,148230.141,153392.254,78808.762,148230.141,10-12-0201,"Jan 2",0.2413,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2019,"Diciembre ","DANIEL GUTIÉRREZ",2710182.36,2535610.091,2855721.139,20830.58,20749.52,20850.31,14546.71,7804.87,8307.27,17-12-0201,"Jan 1",0.5412,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2019,"Diciembre ","EL ENCANTO",1123699.994,2007939.443,2218596.039,8577.75,8584.97,8574.94,4515.68,4513.74,4683.31,17-12-0201,"Jan 1",0.7916,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2019,"Diciembre ",ELECTRIONA,726316.37,666601.962,695764.33,6200,6200,6200,4700,4600,1000,17-12-0201,"Jan 1",0.4820,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2019,"Diciembre ","RÍO SEGUNDO",126531.953,106165.859,113282.762,1006.27,1001.45,1001.39,591.66,591.44,320.52,17-12-0201,"Jan 1",0.3720,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2019,"Diciembre ","P.E VALLE CENTRAL",617515.242,1117730.341,1622212.09,13488.5,14444.87,13685.11,2303.42,1979.95,3142.44,17-12-0201,"Jan 1",0.4005,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2019,"Diciembre ",VENTANAS,322239.273,662805.573,587712.126,7556.39,7612.56,7550.77,3447.92,4789.62,79.49,17-12-0201,"Jan 1",0.1876,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2019,"Diciembre ","BALSA INFERIOR",4721547.149,2384509.008,2593229.032,37070.03,36387.75,36369.28,31121.54,0,22771.71,17-12-0201,"Jan 1",0.3476,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2019,"Diciembre ",BELÉN,1348735.937,2065565.568,2361259.066,9306.32,9372.51,9271.19,9047.41,9022.01,9149.72,17-12-0201,"Jan 1",0.7391,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2019,"Diciembre ",BRASIL,3276085.225,1683071.812,1354218.088,24395.23,24167.05,23076.8,21705.57,21064.91,13263.11,17-12-0201,"Jan 1",0.3536,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2019,"Diciembre ",COTE,919314.125,1126005.308,550986.289,6881.74,6870.99,6880.21,6850.84,6838.82,5845.91,17-12-0201,"Jan 1",0.5142,,,,,,,,,,
"EMPRESA DE SERVICIOS PUBLICOS DE HEREDIA S.A.",2019,"Diciembre ","Jorge Manuel Dengo",0,0,0,0,0,0,0,0,0,27-10-2025,,0.0000,,,,,,,,,,
"EMPRESA DE SERVICIOS PUBLICOS DE HEREDIA S.A.",2019,"Diciembre ","LOS NEGROS",2406757.5,4320876,4269646.5,16842,16968,16968,13524,13524,9702,17-12-0201,"Jan 2",0.8211,,,,,,,,,,
