"Empresa Genera",Año,Mes,Planta,"Energia Punta","Energia Valle","Energia Noche","Potencia Gen Punta","Potencia Gen Valle","Potencia Gen Noche","Potencia Sist Punta","Potencia Sist Valle","Potencia Sist Noche","Fecha Max","Hora Max","Factor Carga","Consumo Diesel","Consumo Bun","Consumo Bun AZ","Consumo Otro","Consumo Lub","Gasto Diesel","Gasto Bun","Gasto Bun AZ","Gasto Otro","Gasto Lub"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2023,"Diciembre ","TORO III",3633947.026,6300181.427,4454652.253,45895.463,45906.186,45409.527,22940.562,23034.941,29082.595,20-12-0202,"Jan 1",0.4070,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2023,"Diciembre ","VENTANAS GARITA",7648772.548,12912752.833,12559897.438,85600.605,84333.25,99807.102,49689.097,78185.754,50175.702,26-12-0202,"Jan 1",0.4452,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2023,"Diciembre ","RÍO MACHO",10254838.718,18535530.067,15370165.056,115336.713,136577.059,121288.977,51743.481,64397.923,43357.075,01-12-0202,"Jan 1",0.4240,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2023,"Diciembre ","SAN ANTONIO GAS",0,0,0,0,0,0,0,0,0,01-12-0202,"Jan 1",0.0000,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2023,"Diciembre ",SANDILLAL,1062050.044,1923714.27,2116913.766,9855.3,9878.251,7878.089,7359.241,7362.206,7612.396,09-12-0202,"Jan 1",0.2214,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2023,"Diciembre ",TEJONA,565138.599,958263.706,1068986.598,7178.771,7513.321,7466.32,502.944,-17.374,1389.184,01-12-0202,"Jan 1",0.2640,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2023,"Diciembre ","TORO I",1536492.847,2756724.404,2699418.592,26027.504,26121.496,20206.062,9749.897,9772.6,14103.795,20-12-0202,"Jan 1",0.3700,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2023,"Diciembre ","TORO II",4874270.78,8394238.814,5840562.626,65313.348,65056.807,64886.666,31280.369,31401.344,40297.812,19-12-0202,"Jan 1",0.3892,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2023,"Diciembre ",OROTINA,60451.2,83457.748,79841.128,10021.62,10016.52,10098.476,,,,27-12-0202,"Jan 1",0.0318,6883.4,0,35770,0,0,262464071.79,0,1182906470.4,0,0
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2023,"Diciembre ","LAS PAILAS",4589471.191,8138416.045,9112658.661,30229.705,30231.021,30281.525,29315.646,29325.305,29256.09,22-12-0202,"Jan 1",0.8387,,,,,,,,,,
